batch,prawn.id,size,algae.id,colour,day,swMean,lwMean,sum(sml),ppn(sw),ppn(lw),hue_sam,hue,jnd
1,B1R4,7.46875,u11,red,20,16640.969,34176.025,50816.994,0.327468583,0.672531417,0.345062835,0.486919383,2.376269439
1,B1R4,7.46875,u22,red,25,15510.424,31925.424,47435.848,0.326976847,0.673023153,0.346046307,0.485832984,3.727758499
1,B1R4,7.46875,u25,red,30,14683.829,35099.099,49782.928,0.294957119,0.705042881,0.410085763,0.418353445,1.739430689
2,B2R1,11.5,u1,red,0,1351.699,1115.59,2467.289,0.547847861,0.452152139,-0.095695721,1.211644959,13.09639367
2,B2R1,11.5,u20,red,5,7495.307,9516.587,17011.894,0.440592153,0.559407847,0.118815694,0.787604527,9.52535547
2,B2R1,11.5,u18,red,10,14548.927,24327.916,38876.843,0.374231184,0.625768816,0.251537631,0.59803425,6.451852244
2,B2R1,11.5,u5,red,15,17945.27,30048.382,47993.652,0.373909241,0.626090759,0.252181518,0.597212522,5.061472369
2,B2R1,11.5,u17,red,20,10839.964,25369.573,36209.537,0.29936765,0.70063235,0.4012647,0.427282083,1.396689502
2,B2R1,11.5,u19,red,25,11492.079,27164.972,38657.051,0.297282868,0.702717132,0.405434263,0.423047703,1.62745269
2,B2R1,11.5,u11,red,30,16425.962,40200.014,56625.976,0.290078214,0.709921786,0.419843571,0.408605878,0.357530105
2,B2R2,6.90625,u8,red,0,4175.207,4637.298,8812.505,0.473782086,0.526217914,0.052435828,0.900353395,11.20272166
2,B2R2,6.90625,u2,red,5,11721.92,18255.92,29977.84,0.3910195,0.6089805,0.217961001,0.642088703,6.980485295
2,B2R2,6.90625,u12,red,10,13557.997,23867.505,37425.502,0.36226627,0.63773373,0.275467461,0.568052547,4.406215515
2,B2R2,6.90625,u4,red,15,15599.615,28259.482,43859.097,0.355675699,0.644324301,0.288648601,0.55201348,4.858522356
2,B2R2,6.90625,u5,red,20,17880.962,35811.273,53692.235,0.333026964,0.666973036,0.333946072,0.499310985,3.000177021
2,B2R2,6.90625,u17,red,25,NA,NA,NA,NA,NA,NA,NA,NA
2,B2R2,6.90625,u21,red,30,NA,NA,NA,NA,NA,NA,NA,NA
2,B2R3,8.59375,u11,red,0,8322.662,8207.36,16530.022,0.503487654,0.496512346,-0.006975308,1.01404861,10.82214055
2,B2R3,8.59375,u24,red,5,19502.127,23123.421,42625.548,0.457522024,0.542477976,0.084955952,0.843392809,10.00741972
2,B2R3,8.59375,u24,red,10,20255.649,28218.691,48474.34,0.417863327,0.582136673,0.164273345,0.71780966,8.151230942
2,B2R3,8.59375,u13,red,15,27757.84,36491.313,64249.153,0.432034334,0.567965666,0.135931333,0.760669807,7.764693604
2,B2R3,8.59375,u14,red,20,30398.282,38073.061,68471.343,0.443956269,0.556043731,0.112087461,0.798419702,9.018182548
2,B2R3,8.59375,u5,red,25,38239.954,44846.644,83086.598,0.460242144,0.539757856,0.079515712,0.852682622,9.16134305
